URL,種別,title要約,H1,公開日,最終実質更新日,状態
/,トップ,はじめての終活ガイド,終活カウンセラー1級が…寄り添います,2026-07-06,2026-08-24,公開
/about.html,固定,運営者情報,運営者情報,2026-07-06,2026-07-07,公開
/privacy.html,固定,プライバシーポリシー,プライバシーポリシー,2026-07-06,2026-07-07,公開
/disclaimer.html,固定,免責事項・広告掲載,免責事項・広告掲載について,2026-07-06,2026-07-07,公開
/articles/article01.html,記事,エンディングノートとは,エンディングノートとは？遺言書との違い,2026-07-06,2026-08-12,公開
/articles/article02.html,記事,書き方完全ガイド,エンディングノートの書き方完全ガイド,2026-07-06,2026-08-12,公開
/articles/article03.html,記事,いつから書く,エンディングノートはいつから書く？,2026-07-06,2026-07-06,公開
/articles/article04.html,記事,書いてはいけないこと,エンディングノートに書いてはいけないこと,2026-07-06,2026-08-12,公開
/articles/article05.html,柱記事,親への切り出し方（拒否・NG例拡張）,親にエンディングノートを書いてもらうには,2026-07-06,2026-08-10,公開
/articles/article06.html,記事,デジタル遺品,デジタル遺品も忘れずに,2026-07-06,2026-08-04,公開
/articles/article07.html,記事,遺言書の種類と費用,遺言書の種類と費用,2026-07-06,2026-07-06,公開
/articles/article08.html,収益記事,おすすめ10選,おすすめエンディングノート10選,2026-07-06,2026-07-07,公開
/articles/article09.html,収益記事,無料版と市販品+独自PDF/Word,無料DLと市販品の違い,2026-07-06,2026-08-03,公開
/articles/article10.html,収益記事,士業相談比較,遺言書作成は専門家に頼むべき？,2026-07-06,2026-07-06,公開
/articles/article11.html,柱記事,終活チェックリスト完全版,終活チェックリスト完全版,2026-07-07,2026-08-10,公開
/articles/article12.html,柱記事,生前整理（部屋別CL+8週間+PDF）,生前整理はどこから始める？部屋別チェックリストと8週間の進め方,2026-07-07,2026-07-19,公開
/articles/article13.html,記事,葬儀の生前準備,葬儀の生前準備,2026-07-07,2026-07-07,公開
/articles/article14.html,記事,お墓・墓じまい（秋彼岸更新）,お墓はどうする？,2026-07-07,2026-07-27,公開
/articles/article15.html,記事,相続手続き,家族が亡くなったあとの相続手続き,2026-07-07,2026-08-10,公開
/articles/article16.html,記事,親の終活/運転,親の運転免許返納、いつ切り出す？,2026-07-20,2026-07-20,公開
/articles/article17.html,記事,遺言・相続/年金,死亡一時金・未支給年金,2026-07-20,2026-07-20,公開
/articles/article18.html,記事,デジタル遺産の相続対策,デジタル遺産の相続対策｜スマホの中の資産を家族に残す7ステップ,2026-08-04,2026-08-12,公開
/ending-note/family-story/,柱記事(LP),体験談・必要性,親が突然亡くなった日…,2026-07-07,2026-08-10,公開
/parent-shukatsu/,ハブ,親の終活ガイド,親の終活ガイド,2026-07-11,2026-08-24,公開
/parent-shukatsu/questions/,柱記事,親に聞く30項目,親が元気なうちに聞いておくこと30項目,2026-07-11,2026-08-25,公開
/parent-shukatsu/siblings/,記事,兄弟姉妹での役割分担,親の終活、兄弟姉妹とどう役割分担する？,2026-08-17,2026-08-25,公開
/parent-shukatsu/living-alone/,柱記事,一人暮らしの親の終活チェックリスト,一人暮らしの親の終活チェックリスト｜見守り・合鍵・孤立防止,2026-08-24,2026-08-25,公開
/column/will-for-ordinary-families/,記事,遺言書はお金持ちだけのもの？,遺言書はお金持ちだけのもの？一般家庭でも準備を考えたい5つのケース,2026-08-10,2026-08-10,公開
/column/ai-shukatsu-first-step/,記事,AIで終活を始める方法,AIで終活を始める方法｜遺言を書く前に整理したい家族・財産・希望,2026-08-11,2026-08-12,公開
/column/legacy-giving-basics/,記事,遺贈寄付とは,遺贈寄付とは？仕組み・遺言・家族への配慮・相談前の確認事項,2026-08-12,2026-08-12,公開
/column/obon-family-planning-talk/,記事,お盆に家族で終活の話,お盆に家族で終活の話を始める方法｜決めずに整理する7つの質問,2026-08-13,2026-08-14,公開
/column/parent-care-without-burnout/,記事,親の介護で共倒れしない準備,親の介護で共倒れしないために｜家族会議・費用・相談先の準備5ステップ,未定,未定,下書き（drafts/parent-care-without-burnout/でnoindex・sitemap非掲載・アイキャッチ画像未配置）
