予定期間,種別,内容,対象URL,状態,備考
2026-07-20〜24,大幅更新+新設,article11をチェックリスト完全版へ改修+親の終活ハブ作成,/articles/article11.html;/parent-shukatsu/,前倒し完了(2026-07-11 PR),初回実行で実施
2026-07-20,新規(臨時・運営者指示),長野県の「運転終活」報道を紹介し親への切り出し方につなげる記事,/articles/article16.html,完了(2026-07-20 PR),運営者からニュースURL指定あり。編集カレンダー計画外の臨時追加。週次の新規記事枠とは別扱い
2026-07-20,新規(臨時・運営者指示),死亡一時金・未支給年金の報道を紹介し年金の死後手続きを解説する記事,/articles/article17.html,完了(2026-07-20 PR),運営者からニュースURL指定あり。同日2本目の臨時追加。金額・時効の記載は日本年金機構の一次情報で裏取り済みだが社労士等の専門家レビューは未実施
2026-07-27〜31,大幅更新,無料EN記事へ独自PDF/Word版追加,/articles/article09.html,未着手,PDF/DOCX生成はtools/pdf基盤を流用
2026-07-27〜31,更新,お墓記事へ秋彼岸向け費用・手順・話し方追加,/articles/article14.html,未着手,費用は一次情報+確認日必須
2026-08-03〜07,新規,親が元気なうちに聞いておくこと30項目,/parent-shukatsu/questions/,前倒し完了(2026-07-11 PR),初回実行で実施
2026-08-10〜14,大幅更新,親への切り出し方を拒否・NG例まで拡張,/articles/article05.html,未着手,
2026-08-17〜21,新規,親の終活を兄弟姉妹で進める役割分担,/parent-shukatsu/siblings/,未着手,役割分担例・費用記録表・連絡ルール
2026-08-24〜28,新規,一人暮らしの親の終活チェックリスト,/parent-shukatsu/living-alone/,未着手,見守り・合鍵・孤立防止
2026-08-31〜09-04,新規,終活にかかる費用,URL未定(/cost/),未着手,金額は根拠+確認日がある場合のみ
2026-09-07〜11,新規,終活の相談先比較,URL未定(/where-to-ask/),未着手,士業の業務範囲を混同しない
2026-09-14〜18,整備,親の終活記事群の内部リンク/title/導入一斉調整,複数,未着手,新規記事なし週
2026-09-28〜10-02,大幅更新,article06をデジタル終活チェックリストへ改修,/articles/article06.html,未着手,印刷用一覧表追加
2026-10前半,新規,実家の片付けを親と喧嘩せず進める手順,URL未定,未着手,
2026-10後半,更新,生前整理記事へ部屋別リスト+年末8週間計画,/articles/article12.html,前倒し完了(2026-07-19 PR),SCの「クロール済み-未登録」改善対応で前倒し。年末向け導入文の要否のみ12月後半週で再確認
2026-11前半,更新,帰省前確認シートを30項目記事へ追加,/parent-shukatsu/questions/,未着手,年末年始需要の6-8週前
2026-11後半,新規,おひとりさまの終活チェックリスト,URL未定,未着手,身元保証・死後事務は専門家レビュー待ちで下書き
2026-12前半,大幅更新,EN比較記事を2027年版へ実質更新,/articles/article08.html,未着手,価格/販売状況/確認日を全て更新
2026-12後半,整備,既存チェックリストの導入/FAQ/家族で話す案内更新,/articles/article11.html,未着手,薄い年末記事は作らない
2027-01,新規,子どものいない夫婦の終活;ペットがいる人の終活,URL未定,未着手,
2027-02上旬,更新,春彼岸に向けお墓・墓じまい・永代供養更新,/articles/article14.html,未着手,彼岸の6-8週前
2027-03,新規,人生会議(ACP)とは;延命治療の希望の伝え方,URL未定,未着手,医療専門家確認前はレビュー待ち(下書き)
2027-04,整備,GW帰省を見据え親の終活記事群を再整備,複数,未着手,
2027-05〜06,新規/更新,お盆に向け墓じまい・仏壇・承継者不在記事,URL未定,未着手,お盆の6-10週前
